From,To,Price,Date,Service
MIA,ORD,99,06-01-2022,JetBlue
LGA,BOS,63,26-01-2022,JetBlue
ORD,CAK,141,04-01-2022,Spirit
DAL,ORD,187,05-01-2022,American Airlines
LGA,MIA,129,12-01-2022,Spirit
LGA,CAK,120,23-01-2022,Spirit
BOS,OMA,108,20-01-2022,JetBlue
ORD,LGA,124,08-01-2022,JetBlue
DAL,CAK,100,18-01-2022,American Airlines
CAK,LGA,59,24-01-2022,American Airlines
DAL,OMA,67,12-01-2022,American Airlines
MIA,LGA,157,15-01-2022,JetBlue
MIA,BOS,142,01-01-2022,American Airlines
CAK,LGA,183,08-01-2022,JetBlue
BOS,LGA,162,09-01-2022,JetBlue
DAL,CAK,117,18-01-2022,American Airlines
MIA,CAK,179,17-01-2022,Spirit
DAL,CAK,53,22-01-2022,American Airlines
CAK,DAL,168,10-01-2022,Spirit
LGA,BOS,198,27-01-2022,Spirit
BOS,LGA,193,21-01-2022,Spirit
CAK,OMA,63,09-01-2022,JetBlue
BOS,OMA,167,09-01-2022,Spirit
CAK,ORD,96,18-01-2022,Spirit
ORD,BOS,138,05-01-2022,JetBlue
LGA,OMA,72,26-01-2022,JetBlue
DAL,LGA,100,25-01-2022,American Airlines
ORD,OMA,136,14-01-2022,JetBlue
BOS,OMA,198,08-01-2022,Spirit
CAK,DAL,131,18-01-2022,Spirit
OMA,BOS,58,03-01-2022,Spirit
CAK,OMA,103,03-01-2022,American Airlines
MIA,ORD,158,27-01-2022,American Airlines
ORD,MIA,196,24-01-2022,JetBlue
MIA,BOS,194,18-01-2022,American Airlines
LGA,BOS,170,25-01-2022,JetBlue
DAL,OMA,199,21-01-2022,Spirit
CAK,DAL,124,02-01-2022,American Airlines
BOS,ORD,118,14-01-2022,Spirit
BOS,CAK,119,02-01-2022,JetBlue
DAL,OMA,60,18-01-2022,Spirit
DAL,LGA,155,18-01-2022,JetBlue
CAK,BOS,51,15-01-2022,American Airlines
DAL,LGA,166,18-01-2022,JetBlue
ORD,LGA,148,19-01-2022,Spirit
BOS,CAK,144,26-01-2022,American Airlines
DAL,LGA,106,09-01-2022,American Airlines
LGA,MIA,126,23-01-2022,JetBlue
BOS,ORD,190,12-01-2022,American Airlines
DAL,OMA,118,10-01-2022,American Airlines
BOS,LGA,168,19-01-2022,American Airlines
MIA,LGA,161,22-01-2022,Spirit
OMA,MIA,90,18-01-2022,American Airlines
ORD,MIA,112,20-01-2022,Spirit
DAL,LGA,84,27-01-2022,American Airlines
DAL,MIA,135,09-01-2022,Spirit
ORD,MIA,143,10-01-2022,JetBlue
MIA,LGA,106,20-01-2022,Spirit
LGA,OMA,62,02-01-2022,Spirit
DAL,LGA,140,06-01-2022,JetBlue
DAL,ORD,63,26-01-2022,Spirit
MIA,BOS,109,24-01-2022,JetBlue
BOS,MIA,57,22-01-2022,Spirit
CAK,BOS,118,04-01-2022,American Airlines
ORD,LGA,52,10-01-2022,Spirit
ORD,LGA,165,12-01-2022,American Airlines
